Pre-scan folder lookup dari '03_photos_export'...
  743 unique identifiers, 819 folder.
  [OK] BTP JAK\SINYAL\JL12A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL12B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL22A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL22B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL32A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL32B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL42A BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL42B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL42C BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL52 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL62B BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\JL72 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\JL92 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\L60 BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\L62A BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\L80 BOO/date.txt -> Senin, Jan 06 2025 (filename)
  [OK] BTP JAK\SINYAL\MB101 MSG-CCR/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP BD\SINYAL\MB201 CCR-MSG/date.txt -> Selasa, Jan 21 2025 (filename)
  [OK] BTP BD\SINYAL\MJ10 BOP-BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP BD\SINYAL\MJ14 MSG-BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\MJ14 CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\MJ20 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\MJ20 BOO/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\MJ20 CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP BD\SINYAL\MJ24 MSG-BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\UB101 BJD-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB102 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
